ID,Group
S_CA_001,Spring_CA
S_CA_002,Spring_CA
S_CA_003,Spring_CA
S_CA_004,Spring_CA
S_CA_005,Spring_CA
S_CA_006,Spring_CA
S_CA_007,Spring_CA
S_CA_008,Spring_CA
S_CA_009,Spring_CA
S_CA_010,Spring_CA
S_CA_011,Spring_CA
S_CA_012,Spring_CA
S_CA_013,Spring_CA
S_CA_014,Spring_CA
S_CA_015,Spring_CA
S_CA_016,Spring_CA
S_CA_017,Spring_CA
S_CA_018,Spring_CA
S_CA_019,Spring_CA
S_CA_020,Spring_CA
S_CA_021,Spring_CA
S_CA_022,Spring_CA
S_CA_023,Spring_CA
S_CA_024,Spring_CA
S_CA_025,Spring_CA
S_CA_026,Spring_CA
S_CA_027,Spring_CA
S_CA_028,Spring_CA
S_CA_029,Spring_CA
S_CA_030,Spring_CA
S_CA_031,Spring_CA
S_CA_032,Spring_CA
S_CA_033,Spring_CA
S_CA_034,Spring_CA
S_CA_035,Spring_CA
S_CA_036,Spring_CA
S_CA_037,Spring_CA
S_CA_038,Spring_CA
S_CA_039,Spring_CA
S_CA_040,Spring_CA
S_CA_041,Spring_CA
S_CA_042,Spring_CA
S_CA_043,Spring_CA
S_CA_044,Spring_CA
S_CA_045,Spring_CA
S_CA_046,Spring_CA
S_CA_047,Spring_CA
S_CA_048,Spring_CA
S_CA_049,Spring_CA
S_CA_050,Spring_CA
S_CA_051,Spring_CA
S_CA_052,Spring_CA
S_CA_053,Spring_CA
S_CA_054,Spring_CA
S_CA_055,Spring_CA
S_CA_056,Spring_CA
S_CA_057,Spring_CA
S_CA_058,Spring_CA
S_CA_059,Spring_CA
S_CA_060,Spring_CA
S_CA_061,Spring_CA
S_CA_062,Spring_CA
S_CA_063,Spring_CA
S_CA_064,Spring_CA
S_CA_065,Spring_CA
S_CA_066,Spring_CA
S_CA_067,Spring_CA
S_CA_068,Spring_CA
S_CA_069,Spring_CA
S_CA_070,Spring_CA
S_CA_071,Spring_CA
S_CA_072,Spring_CA
S_CA_073,Spring_CA
S_CA_074,Spring_CA
S_CA_075,Spring_CA
